province;red;green;blue;x;x
1;128;34;64;Schwys;x
2;0;36;128;Östergötland;x
3;128;38;192;Småland;x
4;0;40;255;Bergslagen;x
1000;225;223;29;Wasteland;x
1250;1;200;200;Ocean 1;x
1251;2;200;250;Ocean 2;x
1252;3;220;250;Ocean 3;x
1253;4;250;250;Ocean 4;x
1254;5;200;200;Ocean 5;x
1255;6;200;250;Ocean 6;x
1256;7;220;250;Ocean 7;x
1257;8;250;250;Ocean 8;x
1258;9;200;200;Ã–resund;
1259;10;200;250;Kattegat;
1260;11;220;250;Peipsi JÃ¤rv;
1261;12;250;250;Ladoga;
1262;13;200;200;Onega;
1263;14;200;250;Barents Sea;
1264;15;220;250;Lofoten Sea;
1265;16;250;250;Northern Norwegian Sea;
1266;17;200;200;Southern Norwegian Sea;
1267;18;200;250;Skagerrack;
1268;19;220;250;Helgoland Bight;
1269;20;250;250;Coast of Holland;
1270;21;200;200;Dogger Bank;
1271;22;200;250;Straits of Dover;
1272;23;220;250;The Channel;
1274;25;200;200;Coast of Britanny;
1275;26;200;250;Quiberon Bay;
1276;27;220;250;Cote D'Argent;
1277;28;250;250;Bay of Biscay;
1278;29;200;200;Cantabrian Sea;
1279;30;200;250;Tyne;
1280;31;220;250;Firth of Forth;
1281;32;250;250;The North Sea;
1282;33;200;200;Moray Firth;
1283;34;200;250;North Channel;
1284;35;220;250;Irish Sea;
1285;36;250;250;St. George's Channel;
1286;37;200;200;Donegal Bay;
1287;38;200;250;Dingle Bay;
1288;39;220;250;Celtic Sea;
1289;40;250;250;Western Approaches;
1290;41;200;200;Finisterre Bay;
1291;42;200;250;Lusitanian Sea;
1292;43;220;250;Gulf of Cadiz;
1293;44;250;250;Straits of Gibraltar;
1294;45;200;200;Gulf of Almeira;
1295;46;200;250;Gulf of Valencia;
1296;47;220;250;Gulf of Lion;
1297;48;250;250;Cote D'Azur;
1298;49;200;200;Ligurian Sea;
1299;50;200;250;Shetland Straits;
1300;51;220;250;Western Mediterranean;
